;From the FIGGS survey
;MNRAS, 2008, 386, 1667
;
;Galaxy	M_B	M_HI/1.e6
AndIV	-12.23	205.19
DDO226	-14.17	25.95
DDO6	-12.5	6.82
UGC685	-14.31	56.15
KKH6	-12.42	10.18
KK14	-12.13	21.93
KKH11	-13.35	52.88
KKH12	-13.03	11.63
KK41	-14.06	67.20
UGCA92	-15.65	156.05
KK44	-11.85	12.2
KKH34	-12.30	10.44
E490-17	-14.46	30.26
UGC3755	-14.90	41.30
DDO43	-14.75	203.02
KK65	-14.29	34.38
UGC4115	-14.27	285.53
KDG52	-11.49	10.8
UGC4459	-13.37	64.2
KK69	-12.76	41.89
UGC5186	-12.98	15.66
UGC5209	-13.15	21.10
UGC5456	-15.08	58.96
UGC6145	-13.14	27.02
UGC5456	-14.03	43.89
UGC6541	-13.71	9.65
UGC3741	-13.13	130.0
KK109	-9.73	3.62
DDO99	-13.52	52.42
E379-07	-12.31	31.77
E321-014 -12.70	3.13
UGC7242	-14.06	45.75
CGCG269	-13.25	26.4
UGC7298	-12.27	21.6
UGC7505	-15.55	442.78
KK144	-12.59	81.15
DDO125	-14.16	31.87
UGC7605	-13.53	22.29
UGC8055	-15.49	782.64
GR8	-12.11	10.38
UGC8215	-12.26	21.41
DDO167	-12.70	14.51
KK195	-11.76	30.50
KK200	-11.96	7.96
UGC8508	-12.98	29.07
E444-78	-13.30	14.62
UGC8638	-13.68	13.76
DDO181	-13.03	27.55
I4316	-13.90	10.01
DDO183	-13.17	25.90
UGC8833	-12.42	15.16
KK230	-9.55	1.90
DDO187	-12.51	16.30
P51659	-11.83	52.99
KK246	-13.69	84.50
KK250	-14.54	121.0
KK251	-13.72	78.0
DDO210	-11.09	2.8
KKH98	-10.78	6.46

