     AGC/ObjID		  RA	    Dec     r        z     D[Mpc]    LogM*  LogMHI/M*  code (ALFALFA-only, noSDSS spec =1, SDSS-only=2, match=3)
     --------------------------------------------------------------------------------------
              215145    0.0000    0.0000  18.45   0.0033    16.69   7.5537   0.4071    1
              215178    0.0000    0.0000  17.79   0.0433   190.13   9.4826   0.4307    1
              210959    0.0000    0.0000  17.27   0.0396   174.41   9.1897   0.5802    1
              213507    0.0000    0.0000  19.93   0.0435   191.08   9.1024   0.8061    1
              210997    0.0000    0.0000  14.78   0.0402   176.84  10.6859  -0.7571    1
              220005  180.7730   13.4704  17.70   0.0232   104.04   8.7377   0.5330    1
              225882  180.8591   13.4595  16.72   0.0043    23.62   7.8914   0.2324    1
              220025  181.0008   11.8410  15.95   0.0227   102.00   9.6869  -0.4839    1
              226023    0.0000    0.0000  16.99   0.0480   210.28   9.7258   0.3719    1
              225880    0.0000    0.0000  18.82   0.0041    15.25   6.9422   0.6948    1
              226030  182.0868   12.5018  17.54   0.0077    35.99   7.7640   0.2264    1
              220166    0.0000    0.0000  15.03   0.0232   104.03  10.4741  -1.0669    1
                7200  183.0628   12.4881  14.18  -0.0000     0.00      NaN      NaN    1
              220199    0.0000    0.0000  14.56   0.0233   104.72  10.3018  -0.5424    1
              225998    0.0000    0.0000    NaN   0.0075    34.89      NaN      NaN    1
              223295    0.0000    0.0000  18.26   0.0238   106.82   8.4717   0.9585    1
              220242  183.7661   13.0319  16.11   0.0070    16.70   8.0017   0.2382    1
              227869    0.0000    0.0000  19.16   0.0005     1.26   4.5922   0.6716    1
              224385    0.0000    0.0000  17.36  -0.0003     0.00      NaN      NaN    1
                7291  184.0937   13.3068  12.86   0.0008    21.30   9.7536  -0.5308    1
              220336  184.7139   12.5983  15.90   0.0052    16.70   7.9204  -0.3386    1
              226061    0.0000    0.0000    NaN   0.0072    33.97      NaN      NaN    1
              226063  184.9598   13.4319  17.59   0.0207    93.35   8.8173   0.5528    1
              223445  185.1277   13.5189  16.88   0.0070    33.15   8.3694  -0.2396    1
              225873  185.5453   11.9375  17.78   0.0240   107.65   8.5151   0.9305    1
              220456  185.6501   12.1580  15.62   0.0000     0.00      NaN      NaN    1
              224858    0.0000    0.0000  16.19   0.0425   186.53  10.1831  -0.6666    1
              222966  186.1896   13.3398  17.73   0.0252   112.45   8.6580   0.5328    1
              226080    0.0000    0.0000    NaN   0.0075    35.06      NaN      NaN    1
                7538    0.0000    0.0000    NaN   0.0003    16.70      NaN      NaN    1
              222857  186.7349   12.9615  18.61   0.0072    33.83   7.4076   1.2645    1
              222857    0.0000    0.0000  18.48   0.0072    33.83   7.7510   0.8267    1
                7574    0.0000    0.0000  10.30   0.0003    16.70  10.7539  -2.0942    1
              223724    0.0000    0.0000  17.68   0.0041    16.58   7.2432   0.9113    1
              223760    0.0000    0.0000    NaN   0.0148    65.48      NaN      NaN    1
              226118    0.0000    0.0000    NaN   0.0026    16.58      NaN      NaN    1
              225874    0.0000    0.0000  19.68   0.0056    15.67   6.7689   1.2169    1
              226119    0.0000    0.0000  19.45   0.0204    92.12   8.5925   0.6068    1
              220828    0.0000    0.0000  17.01   0.0025    16.70   7.4114   0.6925    1
                7784  189.1822   13.2585  13.03   0.0037    16.58   9.1159  -0.5250    1
                7786    0.0000    0.0000    NaN  -0.0007     0.00      NaN      NaN    1
              224219    0.0000    0.0000    NaN   0.0034    16.58      NaN      NaN    1
              225847  189.7367   13.5512  17.74   0.0033    16.58   6.9377   0.9078    1
              225876    0.0000    0.0000  19.27   0.0051    16.36   6.4066   1.1933    1
              224220    0.0000    0.0000  17.78   0.0238   106.42   8.7150   0.5870    1
              223205    0.0000    0.0000  16.98   0.0060    16.25   7.4951   0.5667    1
              223247  192.9866   15.0623  16.51   0.0061    16.00   7.3954   0.6954    1
              225878    0.0000    0.0000  20.22   0.0062    15.97   5.9950   1.3973    1
              225879    0.0000    0.0000  18.70   0.0136    60.52   7.7493   1.1465    1
